[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=37 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000255s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=39 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000196s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=40 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000189s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=41 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000177s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=42 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000167s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=43 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000172s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=44 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000176s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=64 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000172s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=65 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000175s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=66 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000175s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=67 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000175s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=68 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000228s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=69 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000279s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=70 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000193s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=71 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000171s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=72 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000185s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=73 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000181s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_article` [ RunTime:0.001055s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_article` WHERE is_best=1 and status=1 ORDER BY add_time DESC LIMIT 1   [ RunTime:0.000198s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_article` WHERE cate_id=9 and status=1 ORDER BY is_hot DESC,add_time DESC LIMIT 0,4   [ RunTime:0.000200s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_focus` WHERE cate_id=1 and status=1 ORDER BY ordid DESC  [ RunTime:0.000224s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001586s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001008s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items` ORDER BY sort_order DESC,last_time DESC LIMIT 25,25   [ RunTime:0.000885s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001007s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='45' LIMIT 1   [ RunTime:0.000199s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.000927s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000169s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001116s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='256' [ RunTime:0.000273s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001040s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000163s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.000976s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='45' LIMIT 1   [ RunTime:0.000259s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001022s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000158s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001379s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='257' [ RunTime:0.000305s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001053s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000187s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001176s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='45' LIMIT 1   [ RunTime:0.000191s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001033s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000171s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.000845s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='258' [ RunTime:0.000278s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001100s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000181s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001358s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='45' LIMIT 1   [ RunTime:0.000165s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001232s ]
