[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=43 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000159s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=44 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000264s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=64 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000194s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=65 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000182s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=66 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000177s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=67 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000196s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=68 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000170s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=69 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000175s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=70 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000178s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=71 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000205s ]
